filename,psnr_bilateral,ssim_bilateral,mae_bilateral,mse_bilateral,lpips_bilateral,psnr_guided,ssim_guided,mae_guided,mse_guided,lpips_guided,psnr_gain,ssim_gain,lpips_gain
00051.png,21.0148,0.6456,0.074,0.0079,0.2057,21.3701,0.6567,0.0718,0.0073,0.2196,0.3552999999999997,0.011099999999999999,-0.013899999999999996
00059.png,20.0373,0.623,0.0825,0.0099,0.2312,20.3303,0.6501,0.079,0.0093,0.214,0.2930000000000028,0.027100000000000013,0.017199999999999993
00005.png,20.1834,0.7195,0.0819,0.0096,0.1194,20.4324,0.7388,0.0791,0.0091,0.1176,0.24900000000000233,0.019299999999999984,0.00180000000000001
00091.png,23.17,0.5809,0.056,0.0048,0.3299,23.417,0.5993,0.0544,0.0046,0.3178,0.2469999999999999,0.018400000000000083,0.0121
00040.png,20.7293,0.6694,0.0717,0.0085,0.2338,20.8845,0.6856,0.0702,0.0082,0.2241,0.15520000000000067,0.016199999999999992,0.009700000000000014
00079.png,16.1981,0.5567,0.1456,0.024,0.3029,16.2829,0.5781,0.1449,0.0235,0.2965,0.08480000000000132,0.021399999999999975,0.006400000000000017
00043.png,16.4627,0.6502,0.1337,0.0226,0.2301,16.5242,0.6724,0.133,0.0223,0.2206,0.06149999999999878,0.022199999999999998,0.009500000000000008
00001.png,15.5216,0.6434,0.1351,0.028,0.2404,15.5542,0.6504,0.1343,0.0278,0.2415,0.032600000000000406,0.007000000000000006,-0.0010999999999999899
00101.png,17.8672,0.5518,0.1126,0.0163,0.3158,17.8851,0.5651,0.1125,0.0163,0.3119,0.017900000000000915,0.01330000000000009,0.0039000000000000146
00017.png,11.9095,0.4686,0.2415,0.0644,0.3347,11.9107,0.4889,0.243,0.0644,0.3221,0.001200000000000756,0.020299999999999985,0.0126
